iter	Passed	Remaining
0	0	688
1	1	634
2	1	596
3	2	575
4	2	567
5	3	556
6	3	546
7	4	607
8	5	607
9	6	595
10	6	609
11	7	618
12	8	624
13	8	616
14	9	605
15	9	597
16	10	620
17	11	619
18	11	618
19	12	610
20	12	602
21	13	596
22	13	592
23	14	587
24	14	582
25	15	578
26	15	574
27	16	572
28	17	572
29	17	574
30	18	573
31	18	569
32	19	565
33	19	561
34	20	558
35	20	555
36	21	552
37	21	549
38	22	546
39	22	543
40	23	552
41	24	554
42	24	551
43	25	548
44	25	549
45	26	548
46	26	546
47	27	543
48	27	541
49	28	539
50	28	536
51	29	540
52	30	541
53	30	540
54	31	539
55	31	539
56	32	536
57	32	535
58	33	533
59	33	531
60	34	530
61	34	528
62	35	526
63	35	525
64	36	526
65	37	526
66	37	524
67	38	522
68	38	520
69	38	517
70	39	516
71	39	515
72	40	513
73	40	512
74	41	511
75	42	514
76	42	515
77	43	516
78	44	515
79	44	514
80	45	513
81	45	511
82	46	509
83	46	508
84	47	506
85	47	504
86	47	503
87	48	502
88	49	502
89	49	503
90	50	503
91	50	501
92	51	500
93	51	499
94	52	497
95	52	497
96	53	495
97	53	494
98	54	492
99	54	492
100	55	492
101	55	492
102	56	491
103	57	491
104	57	489
105	57	488
106	58	487
107	58	486
108	59	485
109	59	484
110	60	482
111	60	481
112	61	482
113	62	482
114	62	482
115	63	482
116	63	481
117	64	481
118	64	480
119	65	479
120	65	478
121	66	477
122	66	476
123	67	475
124	67	475
125	68	474
126	68	474
127	69	473
128	70	473
129	70	473
130	71	472
131	71	471
132	72	470
133	72	469
134	73	468
135	73	466
136	74	467
137	74	466
138	75	466
139	75	465
140	76	465
141	76	464
142	77	463
143	77	462
144	78	461
145	78	460
146	79	459
147	79	458
148	80	459
149	81	459
150	81	459
151	82	458
152	82	457
153	83	456
154	83	455
155	84	454
156	84	453
157	84	452
158	85	452
159	85	451
160	86	452
161	87	452
162	88	452
163	88	451
164	89	450
165	89	449
166	90	449
167	90	448
168	91	447
169	91	446
170	91	445
171	92	445
172	93	444
173	93	444
174	94	444
175	94	443
176	95	442
177	95	441
178	96	441
179	96	440
180	97	439
181	97	438
182	98	438
183	98	437
184	99	437
185	99	437
186	100	436
187	100	436
188	101	435
189	102	434
190	102	434
191	102	433
192	103	432
193	103	431
194	104	430
195	104	429
196	105	429
197	105	429
198	106	428
199	107	428
200	107	427
201	108	427
202	108	426
203	109	426
204	109	425
205	110	424
206	110	424
207	111	423
208	112	424
209	112	423
210	113	423
211	113	423
212	114	422
213	114	421
214	115	420
215	115	420
216	116	419
217	116	419
218	117	418
219	118	419
220	118	418
221	119	418
222	119	418
223	120	417
224	120	416
225	121	415
226	121	415
227	122	414
228	122	413
229	123	413
230	123	412
231	124	412
232	125	412
233	125	411
234	126	411
235	126	410
236	127	410
237	128	409
238	128	409
239	129	409
240	129	408
241	130	408
242	131	408
243	131	407
244	132	407
245	132	407
246	133	406
247	133	405
248	134	405
249	134	404
250	135	404
251	135	403
252	136	402
253	137	402
254	137	401
255	138	401
256	138	401
257	139	400
258	139	400
259	140	399
260	140	398
261	141	398
262	141	397
263	142	396
264	142	396
265	143	396
266	144	395
267	144	395
268	145	394
269	145	394
270	146	393
271	146	392
272	147	392
273	147	391
274	148	390
275	148	390
276	149	389
277	149	389
278	150	388
279	151	388
280	151	388
281	152	387
282	152	387
283	153	386
284	153	385
285	154	385
286	154	384
287	155	383
288	155	383
289	156	382
290	156	382
291	157	381
292	158	381
293	158	380
294	159	380
295	159	379
296	160	378
297	160	378
298	160	377
299	161	376
300	162	376
301	163	376
302	163	376
303	164	376
304	164	375
305	165	375
306	165	374
307	166	374
308	167	373
309	167	373
310	168	372
311	168	372
312	169	372
313	170	372
314	171	372
315	171	371
316	172	371
317	172	370
318	173	370
319	173	369
320	174	368
321	175	368
322	175	368
323	176	368
324	177	367
325	177	367
326	178	367
327	178	366
328	179	365
329	179	365
330	180	364
331	181	364
332	181	363
333	182	363
334	182	362
335	183	362
336	184	362
337	184	361
338	185	361
339	186	361
340	186	360
341	187	360
342	187	359
343	188	359
344	189	359
345	189	358
346	190	358
347	190	357
348	191	357
349	191	356
350	192	355
351	192	355
352	193	354
353	194	354
354	194	353
355	195	353
356	195	352
357	196	352
358	197	351
359	197	351
360	198	350
361	198	350
362	199	349
363	200	349
364	200	349
365	201	348
366	202	348
367	202	348
368	203	347
369	203	347
370	204	346
371	204	346
372	205	345
373	206	345
374	207	345
375	207	344
376	208	344
377	209	343
378	209	343
379	210	342
380	210	342
381	211	341
382	211	340
383	211	339
384	212	339
385	213	339
386	213	338
387	214	338
388	215	337
389	215	337
390	216	336
391	216	336
392	217	335
393	217	334
394	218	334
395	218	333
396	219	333
397	219	332
398	220	331
399	220	331
400	221	330
401	222	330
402	222	329
403	222	328
404	223	328
405	223	327
406	224	326
407	224	326
408	225	325
409	226	325
410	227	325
411	227	324
412	228	324
413	228	323
414	229	322
