iter	Passed	Remaining
0	1	1140
1	2	1078
2	3	1034
3	4	1020
4	5	1045
5	6	1032
6	7	1006
7	7	991
8	8	973
9	9	962
10	11	992
11	11	960
12	12	948
13	13	935
14	13	917
15	15	935
16	16	935
17	16	926
18	17	914
19	18	914
20	19	901
21	20	892
22	20	885
23	21	884
24	22	892
25	23	888
26	24	876
27	25	868
28	25	862
29	26	852
30	27	849
31	28	849
32	28	848
33	29	845
34	30	843
35	31	840
36	32	836
37	32	834
38	33	830
39	34	828
40	35	828
41	36	826
42	37	823
43	37	818
44	38	816
45	39	813
46	40	811
47	40	809
48	41	809
49	43	818
50	43	817
51	44	814
52	45	812
53	46	811
54	47	812
55	48	810
56	48	808
57	49	805
58	50	803
59	51	802
60	52	807
61	57	868
62	58	869
63	59	867
64	60	865
65	61	864
66	61	862
67	62	859
68	64	866
69	64	862
70	66	872
71	67	867
72	68	865
73	68	863
74	69	860
75	70	856
76	71	853
77	71	850
78	72	847
79	73	844
80	74	842
81	75	840
82	75	838
83	76	836
84	77	834
85	78	832
86	79	837
87	80	833
88	81	831
89	81	828
90	82	825
91	83	823
92	84	821
93	85	819
94	85	819
95	88	828
96	89	830
97	90	834
98	91	833
99	92	833
100	93	832
101	94	830
102	94	827
103	95	825
104	96	822
105	97	819
106	97	817
107	98	815
108	99	812
109	100	809
110	100	807
111	101	805
112	102	802
113	102	800
114	103	797
115	104	795
116	104	792
117	105	789
118	106	785
119	106	782
120	107	779
121	107	776
122	108	774
123	109	772
124	110	770
125	110	767
126	111	764
127	111	762
128	112	759
129	113	757
130	113	755
131	114	751
132	114	749
133	115	746
134	116	744
135	116	743
136	117	740
137	118	738
138	118	736
139	119	733
140	120	731
141	120	729
142	121	726
143	121	724
144	122	723
145	123	721
146	124	719
147	124	716
148	125	715
149	125	713
150	126	710
151	127	708
152	127	706
153	128	704
154	128	703
155	129	701
156	130	699
157	130	697
158	131	695
159	132	693
160	132	691
161	133	688
162	133	685
163	134	683
164	134	681
165	135	680
166	136	679
167	136	677
168	137	676
169	138	674
170	138	673
171	139	671
172	140	669
173	140	668
174	141	666
175	142	665
176	142	664
177	143	662
178	144	661
179	145	660
180	145	659
181	146	657
182	147	656
183	147	654
184	148	653
185	149	652
186	149	651
187	150	649
188	151	648
189	151	646
190	152	644
191	152	641
192	153	639
193	153	638
194	154	636
195	154	635
196	155	634
197	155	631
198	156	630
199	157	628
200	157	627
201	158	625
202	159	624
203	159	622
204	160	620
205	160	619
206	161	619
207	162	618
208	163	617
209	163	615
210	164	614
211	164	612
212	165	611
213	166	610
214	166	608
215	167	608
216	168	606
217	168	605
218	169	604
219	170	602
220	170	601
221	171	600
222	171	598
223	172	597
224	172	595
225	173	594
226	174	593
227	174	592
228	175	591
229	176	590
230	176	589
231	177	588
232	178	586
233	178	585
234	179	583
235	180	582
236	181	584
237	182	583
238	182	581
239	183	580
240	183	579
241	184	578
242	185	576
243	185	575
244	186	574
245	187	574
246	188	573
247	188	572
248	189	572
249	190	570
250	190	569
251	191	568
252	192	567
253	193	566
254	193	565
255	194	564
256	194	563
257	195	562
258	196	560
259	196	559
260	197	558
261	197	556
262	198	556
263	199	556
264	200	555
265	200	554
266	201	552
267	201	551
268	203	552
269	203	551
270	204	549
271	205	549
272	205	548
273	206	547
274	207	546
275	207	545
276	208	544
277	209	543
278	209	542
279	210	541
280	211	540
281	212	539
282	212	538
283	213	537
284	213	536
285	214	535
286	215	534
287	215	533
288	216	532
289	217	531
290	218	531
291	218	530
292	219	529
293	219	528
294	220	526
295	221	525
296	221	524
297	222	523
298	222	522
299	223	521
300	224	520
301	225	520
302	225	519
303	226	518
304	227	517
305	227	516
306	228	516
307	229	515
308	229	514
309	230	513
310	231	512
311	232	512
312	233	511
313	233	511
314	234	510
315	235	509
316	235	508
317	236	507
318	237	506
319	238	506
320	238	505
321	239	504
322	240	503
323	240	502
324	241	501
325	242	500
326	243	500
327	243	499
328	244	498
329	244	497
330	245	496
331	246	495
332	246	494
333	247	493
334	248	492
335	248	491
336	249	491
337	250	490
338	251	489
339	251	488
340	252	487
341	252	486
342	253	485
343	254	484
344	254	483
345	255	482
346	256	481
347	256	481
348	257	480
349	257	479
350	258	478
351	259	476
352	259	475
353	260	475
354	260	474
355	261	473
356	262	472
357	263	471
358	263	470
359	264	469
360	264	468
361	265	467
362	266	466
363	266	465
364	267	464
365	267	464
366	268	463
367	269	462
368	269	461
369	270	460
370	271	459
371	271	458
372	272	457
373	272	456
374	273	455
375	274	455
376	275	455
377	276	454
378	277	454
379	277	453
380	278	452
381	279	452
382	279	451
383	280	450
384	281	449
385	282	449
386	283	448
387	283	447
388	284	447
389	285	446
390	285	445
391	286	444
392	287	443
393	288	443
394	288	442
395	289	441
396	290	440
397	290	439
398	291	439
399	292	438
400	292	437
401	293	436
402	294	435
403	294	434
404	295	433
405	295	432
406	296	431
407	297	431
408	297	430
409	298	429
410	299	428
411	299	427
412	300	427
413	301	426
414	301	425
415	302	424
416	303	423
417	303	423
418	304	422
419	305	421
420	305	420
421	306	419
422	306	418
423	307	417
424	308	416
425	308	415
426	309	414
427	310	414
428	310	413
429	311	412
430	311	411
431	312	410
432	313	409
433	313	409
434	314	408
435	315	408
436	316	407
437	317	407
438	318	406
439	318	405
440	319	404
441	319	403
442	320	403
443	321	402
444	321	401
445	322	400
446	323	399
447	323	398
448	324	398
449	324	397
450	325	396
451	326	395
452	326	394
453	327	393
454	327	392
455	328	392
456	329	391
457	330	390
458	330	390
459	331	389
460	332	388
461	332	387
462	333	386
463	333	385
464	334	384
465	335	384
466	335	383
467	336	382
468	337	381
469	337	380
470	338	379
471	338	379
472	339	378
473	340	377
474	340	376
475	341	376
476	342	375
477	342	374
478	343	373
479	344	372
480	344	371
481	345	371
482	345	370
483	346	369
484	347	368
485	347	367
486	348	367
487	349	366
488	349	365
489	350	364
490	350	363
491	351	362
492	352	362
493	352	361
494	353	360
495	353	359
496	354	358
497	355	358
498	355	357
499	356	356
500	357	355
501	357	355
502	358	354
503	359	353
504	359	352
505	360	352
506	361	351
507	362	350
508	362	349
509	363	349
510	363	348
511	364	347
512	365	346
513	366	346
514	366	345
515	367	344
516	368	344
517	368	343
518	369	342
519	370	341
520	370	340
521	371	340
522	372	339
523	372	338
524	373	337
525	374	337
526	374	336
527	375	335
528	376	335
529	377	334
530	377	333
531	378	332
532	378	332
533	379	331
534	380	330
535	380	329
536	381	329
537	382	328
538	382	327
539	383	326
540	384	326
541	384	325
542	385	324
543	386	323
544	387	323
545	387	322
546	388	321
547	388	320
548	389	319
549	390	319
550	390	318
551	391	317
552	391	316
553	392	316
554	393	315
555	393	314
556	394	313
557	395	313
558	396	312
559	396	311
560	397	310
561	398	310
562	398	309
563	399	308
564	400	308
565	400	307
566	401	306
567	402	305
568	402	305
569	403	304
570	404	303
571	404	302
572	405	302
573	406	301
574	406	300
575	407	299
576	408	299
577	409	298
578	409	297
579	410	297
580	411	296
581	412	295
582	412	295
583	413	294
584	414	294
585	415	293
586	415	292
587	416	291
588	417	291
589	417	290
590	418	289
591	419	289
592	420	288
593	421	287
594	422	287
595	422	286
596	423	285
597	424	285
598	425	284
599	425	283
600	426	283
601	427	282
602	428	281
603	428	281
604	429	280
605	430	279
606	431	279
607	431	278
608	432	277
609	433	277
610	434	276
611	434	275
612	435	275
613	436	274
614	437	273
615	437	272
616	438	272
617	439	271
618	440	270
619	440	270
620	441	269
621	442	268
622	442	267
623	443	267
624	444	266
625	444	265
626	445	265
627	446	264
628	446	263
629	447	262
630	448	262
631	448	261
632	449	260
633	450	259
634	450	259
635	451	258
636	451	257
637	452	256
638	453	256
639	453	255
640	454	254
641	454	253
642	455	253
643	456	252
644	457	251
645	457	250
646	458	250
647	458	249
648	459	248
649	460	247
650	460	246
651	461	246
652	462	245
653	463	245
654	464	244
655	464	243
656	465	243
657	466	242
658	466	241
659	467	240
660	468	240
661	468	239
662	469	238
663	470	237
664	470	237
665	471	236
666	472	235
667	472	234
668	473	234
669	474	233
670	474	232
671	475	232
672	476	231
673	476	230
674	477	229
675	477	229
676	478	228
677	479	227
678	479	226
679	480	226
680	481	225
681	481	224
682	482	223
683	482	223
684	483	222
685	484	221
686	484	220
687	485	220
688	485	219
689	486	218
690	487	217
691	487	217
692	488	216
693	489	215
694	489	214
695	490	214
696	491	213
697	491	212
698	492	211
699	492	211
700	493	210
701	494	209
702	494	209
703	495	208
704	496	207
705	496	206
706	497	206
707	497	205
708	498	204
709	498	203
710	499	203
711	500	202
712	501	201
713	501	200
714	502	200
715	502	199
716	503	198
717	504	198
718	505	197
719	505	196
720	506	195
721	507	195
722	507	194
723	508	193
724	508	193
725	509	192
726	510	191
727	510	190
728	511	190
729	511	189
730	513	188
731	513	188
732	514	187
733	515	186
734	515	185
735	516	185
736	516	184
737	517	183
738	518	183
739	518	182
740	519	181
741	520	180
742	520	180
743	521	179
744	521	178
745	522	177
746	523	177
747	523	176
748	524	175
749	524	174
750	525	174
751	526	173
752	526	172
753	527	172
754	528	171
755	528	170
756	529	169
757	529	169
758	530	168
759	531	167
760	531	167
761	532	166
762	533	165
763	533	164
764	534	164
765	534	163
766	535	162
767	536	161
768	536	161
769	537	160
770	537	159
771	538	159
772	539	158
773	539	157
774	540	156
775	541	156
776	541	155
777	542	154
778	542	153
779	543	153
780	543	152
781	544	151
782	545	151
783	546	150
784	546	149
785	547	148
786	548	148
787	549	147
788	549	146
789	550	146
790	550	145
791	551	144
792	552	144
793	553	143
794	554	142
795	554	142
796	555	141
797	556	140
798	557	140
799	557	139
800	559	138
801	560	138
802	560	137
803	561	136
804	562	136
805	562	135
806	563	134
807	564	134
808	565	133
809	565	132
810	566	131
811	567	131
812	567	130
813	568	129
814	568	129
815	569	128
816	570	127
817	571	127
818	572	126
819	572	125
820	573	125
821	573	124
822	574	123
823	575	122
824	575	122
825	576	121
826	577	120
827	577	120
828	578	119
829	579	118
830	579	117
831	580	117
832	581	116
833	581	115
834	582	115
835	583	114
836	583	113
837	584	113
838	585	112
839	586	111
840	587	111
841	587	110
842	588	109
843	589	108
844	589	108
845	590	107
846	591	106
847	591	106
848	592	105
849	592	104
850	593	103
851	594	103
852	594	102
853	595	101
854	596	101
855	596	100
856	597	99
857	597	98
858	598	98
859	599	97
860	600	96
861	600	96
862	601	95
863	602	94
864	602	94
865	603	93
866	603	92
867	604	91
868	605	91
869	605	90
870	606	89
871	606	89
872	607	88
873	608	87
874	609	87
875	609	86
876	610	85
877	610	84
878	611	84
879	612	83
880	613	82
881	613	82
882	614	81
883	615	80
884	615	80
885	616	79
886	617	78
887	617	77
888	618	77
889	618	76
890	619	75
891	620	75
892	620	74
893	621	73
894	622	73
895	622	72
896	623	71
897	624	70
898	624	70
899	625	69
900	625	68
901	626	68
902	627	67
903	628	66
904	629	66
905	629	65
906	630	64
907	631	63
908	632	63
909	633	62
910	634	62
911	635	61
912	636	60
913	636	59
914	637	59
915	638	58
916	638	57
917	639	57
918	640	56
919	640	55
920	641	55
921	642	54
922	642	53
923	643	52
924	644	52
925	644	51
926	645	50
927	645	50
928	646	49
929	647	48
930	647	48
931	648	47
932	649	46
933	649	45
934	650	45
935	650	44
936	651	43
937	652	43
938	653	42
939	653	41
940	654	41
941	655	40
942	656	39
943	656	38
944	657	38
945	657	37
946	658	36
947	659	36
948	660	35
949	660	34
950	661	34
951	662	33
952	662	32
953	663	31
954	664	31
955	664	30
956	665	29
957	665	29
958	666	28
959	667	27
960	667	27
961	668	26
962	669	25
963	669	25
964	670	24
965	671	23
966	671	22
967	672	22
968	673	21
969	673	20
970	674	20
971	675	19
972	675	18
973	676	18
974	676	17
975	677	16
976	678	15
977	678	15
978	679	14
979	679	13
980	680	13
981	681	12
982	681	11
983	682	11
984	682	10
985	683	9
986	684	9
987	684	8
988	685	7
989	686	6
990	686	6
991	687	5
992	688	4
993	689	4
994	689	3
995	690	2
996	691	2
